!SIL    SIL
अग्रणीमिज	a g r a nx ii m i j
अग्रणीय	a g r a nx ii y
अग्रब्रिज	a g r a b r i j
अग्रमीय	a g r a m ii y
अग्रवाल	a g r a w aa l
अग्रषित	a g r a sx i t
अग्रसर	a g r a s a r
अग्रहरी	a g r a h r ii
अग्रिम	a g r i m
अग्री	a g r ii
अग्रीम	a g r ii m
अग्रीमेंट	a g r ii m ee q tx
अंग्रेज	a q g r ee j
अंग्रेज़	a q g r ee z
अंग्रेजन	a q g r ee j a n
अंग्रेजी	a q g r ee j ii
अंग्रेज़ी	a q g r ee z ii
अंग्रेज़ी	a q g r ee z ii
अंग्रेजो	a q g r ee j o
अंग्रेजों	a q g r ee j o q
अंग्रेज़ो	a q g r ee z o
अंग्रेज़ों	a q g r ee z o q
अंग्रेंजों	a q g r ee q j o q
अग्रेजोकि	a g r ee j o k i
अग्रेसिव	a g r ee s i w
अघनी	a gh a n ii
अघरा	a gh r aa
अघहरा	a gh a h r aa
अघहारा	a gh a h aa r aa
अघात	a gh aa t
अघारा	a gh aa r aa
अघेरा	a gh ee r aa
अघोषित	a gh o sx i t
अचक	a c a k
अचंभित	a c a q bh i t
अचरज	a c r a j
अचल	a c a l
अंचल	a q c a l
अंचला	a q c l aa
अंचलाधिकारियो	a q c l aa dh i k aa r i y o
अंचलाधिकारी	a q c l aa dh i k aa r ii
अंचलों	a q c l o q
अचानक	a c aa n a k
अचार	a c aa r
अचारपुरा	a c aa r p u r aa
अचारा	a c aa r aa
अचित	a c i t
अचिविंग	a c i w i q g
अचीव	a c ii w
अचीवमेंट	a c ii w m ee q tx
अचीविंग	a c ii w i q g
अचीवे	a c ii w ee
अचूक	a c uu k
अचेत	a c ee t
अचेतन	a c ee t a n
अचेरे	a c ee r ee
अच्छा	a c ch aa
अच्छाई	a c ch aa ii
अच्छि	a c ch i
अच्छी	a c ch ii
अच्छी-अच्छी	a c ch ii bh a c ch ii
अच्छे	a c ch ee
अच्छे-अच्छे	a c ch ee bh a c ch ee
अच्छो	a c ch o
अच्युत	a c y u t
अछ	a ch
अःछावनी	a hq ch aa w n ii
अछि	a ch i
अछुता	a ch u t aa
अछूता	a ch uu t aa
अछूती	a ch uu t ii
अछूते	a ch uu t ee
अःछोटा	a hq ch o tx aa
अःजगत	a hq j g a t
अज़ज़ाइयों	a z a z aa i y o q
अजंता	a j a q t aa
अजद्समक	a j a d s a m a k
अजन	a j a n
अंजन	a q j a n
अजनता	a j a n t aa
अजनबी	a j a n b ii
अंजनी	a q j n ii
अजन्ता	a j a n t aa
अजन्मे	a j a n m ee
अजब	a j a b
अजमाइश	a j m aa i sh
अजमाने	a j m aa n ee
अजमार	a j m aa r
अजमेर	a j m ee r
अजमेरशरीफ	a j m ee r sh r ii ph
अजय	a j a y
अजर	a j a r
अजरबैजान	a j r a b ei j aa n
अज़रबैजान	a z a r b ei j aa n
अजरेनिका	a j r ee n i k aa
अंजलि	a q j l i
अजलीय	a j l ii y
अजवाइन	a j w aa i n
अजहर	a j h a r
अज़हर	a z h a r
अजहरि	a j a h r i
अजहरुददीन	a j h a r u d d ii n
अजहरुद्दीन	a j h a r u d d ii n
अज़हरूद्दीन	a z h a r uu d d ii n
अजहा	a j h aa
अजाक	a j aa k
अःजाजू	a hq j aa j uu
अजात	a j aa t
अजातशत्रु	a j aa t sh a t r u
अंजाद	a q j aa d
अजादी	a j aa d ii
अजाद्कलर	a j aa d k a l a r
अज़ान	a z aa n
अंजान	a q j aa n
अंजाम	a q j aa m
अंजार	a q j aa r
अजारी	a j aa r ii
अजिंक्य	a j i q k y
अजित	a j i t
अजितिया	a j i t i y aa
अःजिनके	a hq j i n k ee
अजी	a j ii
अजीज	a j ii j
अज़ीज़	a z ii z
अजीत	a j ii t
अजीब	a j ii b
अजीबो	a j ii b o
अजीम	a j ii m
अंजुम	a q j u m
अंजुमन	a q j u m a n
अंजू	a q j uu
अजूबा	a j uu b aa
अजेंडे	a j ee q dx ee
अजेंदो	a j ee q d o
अज़ेनोव्र	a z ee n o w r
अजेय	a j ee y
अजेंसियो	a j ee q s i y o
अजैविक	a j ei w i k
अःजो	a hq j o
अंजौरा	a q j ou r aa
अज्ञात	a j nj aa t
अज्ञान	a j nj aa n
अज्ञानता	a j nj aa n t aa
अज्ञानी	a j nj aa n ii
अज्ञेय	a j nj ee y
अज्बेस्तन	a j b ee s t a n
अःज्या	a hq j y aa
अःज्यादा	a hq j y aa d aa
अट	a tx
अटक	a tx a k
अटकते	a tx a k t ee
अटकने	a tx a k n ee
अटकलबाजियां	a tx k a l b aa j i y aa q
अटकलबाजियों	a tx k a l b aa j i y o q
अटकलें	a tx k a l ee q
अटकलों	a tx k a l o q
अटका	a tx k aa
अटकाने	a tx k aa n ee
अटकाया	a tx k aa y aa
अटकी	a tx k ii
अटके	a tx k ee
अटपटा	a tx a p tx aa
अटमी	a tx a m ii
अःटर्म्स	a hq tx a r m s
अटल	a tx a l
अटलन	a tx l a n
अटलना	a tx a l n aa
अटलांटिक	a tx l aa q tx i k
अटलांटिस	a tx l aa q tx i s
अटलांटीन	a tx l aa q tx ii n
अटलांटीयन	a tx l aa q tx ii y a n
अटलांटींस	a tx l aa q tx ii q s
अटलाना	a tx l aa n aa
अटलांनाने	a tx l aa q n aa n ee
अंटा	a q tx aa
अंटार्कटिक	a q tx aa r k a tx i k
अटार्नी	a tx aa r n ii
अटूट	a tx uu tx
अंटे	a q tx ee
अटेक	a tx ee k
अटेंड	a tx ee q dx
अटेंडेंट	a tx ee q dx ee q tx
अटेंडेंस	a tx ee q dx ee q s
अटेल	a tx ee l
अटै	a tx ei
अटैक	a tx ei k
अटैकिंग	a tx ei k i q g
अटैक्स	a tx ei k s
अटैचमेंट	a tx ei c a m ee q tx
अटॉर्नी	a tx ax r n ii
अंटोनी	a q tx o n ii
अट्केंगी	a tx k ee q g ii
अट्टारा	a tx tx aa r aa
अट्ठरह	a tx txh a r a h
अट्ठाइस	a tx txh aa i s
अट्ठाइसके	a tx txh aa i s k ee
अट्ठाईस	a tx txh aa ii s
अट्ठाईसवि	a tx txh aa ii s w i
अट्ठाईसवी	a tx txh aa ii s w ii
अट्ठानबे	a tx txh aa n b ee
अट्ठानवे	a tx txh aa n w ee
अंट्ठानवे	a q tx txh aa n w ee
अट्ठारवे	a tx txh aa r w ee
अट्ठारह	a tx txh aa r a h
अट्ठारहवे	a tx txh aa r a h w ee
अट्ठावन	a tx txh aa w a n
अट्ठावना	a tx txh aa w n aa
अट्ठासी	a tx txh aa s ii
अट्ठासीअत्यंत	a tx txh aa s ii a t y a q t
अट्रैक्ट	a tx r ei k tx
अट्रैक्टिव	a tx r ei k tx i w
अठतर	a txh t a r
अठत्तर	a txh a t t a r
अठत्तरवि	a txh a t t r a w i
अठन्नी	a txh a n n ii
अठरह	a txh r a h
अठरा	a txh r aa
अठसठ	a txh s a txh
अठहतर	a txh a h t a r
अठहत्तर	a txh h a t t a r
अठहत्तरपे	a txh h a t t a r p ee
अठा	a txh aa
अठाइस	a txh aa i s
अठाईस	a txh aa ii s
अठानवे	a txh aa n w ee
अंठानवे	a q txh aa n w ee
अंठानवें	a q txh aa n w ee q
अठार	a txh aa r
अठारवें	a txh aa r a w ee q
अठारसो	a txh aa r s o
अठारह	a txh aa r a h
अठारहमी	a txh aa r a h m ii
अठारहवी	a txh aa r h a w ii
अठारहवीं	a txh aa r h a w ii q
अठारहवे	a txh aa r a h w ee
अठारहसो	a txh aa r a h s o
अठारहा	a txh aa r h aa
अठारहों	a txh aa r h o q
अठारा	a txh aa r aa
अठारासो	a txh aa r aa s o
अठारासौ	a txh aa r aa s ou
अठाराह	a txh aa r aa h
अठारिह	a txh aa r i h
अठावन	a txh aa w a n
अंठावन	a q txh aa w a n
अठावले	a txh aa w l ee
अठासी	a txh aa s ii
अठ्ठवान	a txh txh w aa n
अठ्ठारहसो	a txh txh aa r a h s o
अठ्ठावन	a txh txh aa w a n
अठ्ठासी	a txh txh aa s ii
अड़चन	a dxq a c a n
अड़चने	a dxq a c n ee
अड़चनों	a dxq a c n o q
अड़चनों	a dxq a c n o q
अड़तालीस	a dxq a t aa l ii s
अड़तालीस	a dxq a t aa l ii s
अड़तीस	a dxq a t ii s
अड़तीस	a dxq a t ii s
अड़तीसवे	a dxq a t ii s w ee
अंडमान	a q dx m aa n
अंडर	a q dx a r
अंडरग्राउंड	a q dx r a g r aa u q dx
अंडरग्रेजुएट	a q dx r a g r ee j u ee tx
अंडरलाइन	a q dx r a l aa i n
अंडरलोड	a q dx r a l o dx
अंडरवर्ल्ड	a q dx r a w a r l dx
अंडरवियर	a q dx r a w i y r
अंडरवुड	a q dx r a w u dx
अंडरशिप	a q dx r a sh i p
अंडरस्टुड	a q dx r a s tx u dx
अडल्ट	a dx a l tx
अडवानी	a dx w aa n ii
अडवांस्ड	a dx w aa q s dx
अडसठ	a dx s a txh
अड़सठ	a dxq a s a txh
अड़सठ	a dxq a s a txh
अड़सठवि	a dxq a s txh a w i
अड़सठवे	a dxq a s txh a w ee
अड़सथ	a dxq a s a th
अड़ा	a dxq aa
अड़ा	a dxq aa
अंडा	a q dx aa
अंडाशय	a q dx aa sh a y
अडिग	a dx i g
अड़ियल	a dxq i y a l
अड़ियल	a dxq i y a l
अडिया	a dx i y aa
अडियाला	a dx i y aa l aa
अडिशनल	a dx i sh n a l
अंडी	a q dx ii
अड़े	a dxq ee
अंडे	a q dx ee
अडॉप्ट	a dx ax p tx
अंडो	a q dx o
अड़ोस	a dxq o s
अड़ोस	a dxq o s
अड्डा	a dx dx aa
अड्डे	a dx dx ee
अड्डों	a dx dx o q
अड्तालीस	a dx t aa l ii s
अड्तीस	a dx t ii s
अड्सत	a dx s a t
अढ	a dxh
अढ़तालिस	a dxhq t aa l i s
अढ़तीस	a dxhq t ii s
अढ़ाई	a dxhq aa ii
अढारसो	a dxh aa r s o
अणदाता	a nx a d aa t aa
अणु	a nx u
अणूच्या	a nx uu c y aa
अण्डाणु	a nx dx aa nx u 
अत	a t
अतः	a t hq
अंत	a q t
अतई	a t ii
अंतकरण	a q t k a r a nx
अंतःकरण	a q t hq k r a nx
अंतगर्त	a q t g a r t
अंतड़ियों	a q t dxq i y o q
अंतत	a q t a t
अंततः	a q t t a hq
अंततइससे	a q t t i s s ee
अंततह	a q t t a h
अंततोगत्वा	a q t t o g a t w aa
अःतथ्य	a hq t a th y
अतधिदनयम	a t dh i d n a y a m
अंतनिधि	a q t n i dh i
अंतनिर्हित	a q t n i r h i t
अःतमिलनाडु	a hq t m i l n aa dx u
अंतर	a q t a r
अंतरगत	a q t a r g a t
अंतरण	a q t a r a nx
अंतरत	a q t a r a t
अंतरराज्यीय	a q t r a r aa j y ii y
अंतरराष्ट्रीय	a q t r a r aa sx tx r ii y
अंतरा	a q t r aa
अंतराज्यीय	a q t r aa j y ii y
अंतरात्मा	a q t r aa t m aa
अंतराल	a q t r aa l
अंतराष्ट्रीय	a q t r aa sx tx r ii y
अतरिक्त	a t r i k t
अंतरिक्ष	a q t r i k sx
अंतरिक्षयाण	a q t r i k sx a y aa nx
अंतरिक्षयात्री	a q t r i k sx a y aa t r ii
अंतरिम	a q t r i m
अंतरीक्ष	a q t r ii k sx
अंतरों	a q t r o q
अंतर्क्रियाओं	a q t a r k r i y aa o q
अंतर्गत	a q t a r g a t
अंतर्द्वन्द्व	a q t a r d w a n d w
अंतर्धान	a q t a r dh aa n
अंतर्ना	a q t a r n aa
अंतर्निहित	a q t a r n i h i t
अंतर्मन	a q t a r m a n
अंतर्यान	a q t a r y aa n
अंतर्रश्तिक	a q t a r r a sh t i k
अंतर्राष्ट्रीय	a q t a r r aa sx tx r ii y
अंतर्विरोध	a q t a r w i r o dh
अंतर्शक्ति	a q t a r sh a k t i
अंतलक	a q t a l a k
अतह	a t a h
अता	a t aa
अंता	a q t aa
अंताक्षरी	a q t aa k sx a r ii
अतार्किक	a t aa r k i k
अंतालिस	a q t aa l i s
अति	a t i
अतिआवश्यक	a t i aa w a sh y a k
अतिइंचन	a t i i q c a n
अतिक्रमंकरियो	a t i k r a m a q k a r i y o
अतिक्रमण	a t i k r a m a nx
अतिक्रमणकारियों	a t i k r a m nx a k aa r i y o q
अतिक्रमंवाद	a t i k r a m a q w aa d
अतिक्रमित	a t i k r a m i t
अतिथि	a t i th i
अतिथियों	a t i th i y o q
अतिपिडा	a t i p i dx aa
अंतिम	a q t i m
अंतिमचरण	a q t i m c r a nx
अतियुत्तम	a t i y u t t a m
अतियो	a t i y o
अतिरिक्त	a t i r i k t
अतिवादी	a t i w aa d ii
अतिशयोक्ति	a t i sh y o k t i
अतिशीग्रह	a t i sh ii g r a h
अतिसंकट	a t i s a q k a tx
अतिसंयोक्ति	a t i s a q y o k t i
अतिसंवेदनशील	a t i s a q w ee d n a sh ii l
अतिसार	a t i s aa r
अती	a t ii
अतीक	a t ii k
अतीत	a t ii t
अतीतवत्थु	a t ii t w a t th u
अंतीम	a q t ii m
अतुर	a t u r
अतुल	a t u l
अतुल्य	a t u l y
अःतू	a hq t uu
अतैव	a t ei w
अःतो	a hq t o
अंतोदय	a q t o d a y
अत्तन	a t t a n
अत्यंत	a t y a q t
अत्यधिक	a t y a dh i k
अत्यन्त	a t y a n t
अत्याचार	a t y aa c aa r
अत्याचारियों	a t y aa c aa r i y o q
अत्याचारी	a t y aa c aa r ii
अत्याचारों	a t y aa c aa r o q
अत्याधिक	a t y aa dh i k
अत्याधुनिक	a t y aa dh u n i k
अत्यावश्यक	a t y aa w a sh y a k
अंत्येष्टि	a q t y ee sx tx i
अत्योंदय	a t y o q d a y
अत्रि	a t r i
अत्री	a t r ii
अथक	a th a k
अथर	a th a r
अथर्चव्यवस्था	a th a r c a w y a w a s th aa
अथर्व	a th a r w
अथर्ववेद	a th a r w a w ee d
अथवा	a th w aa
अथा	a th aa
अंथाननब्बे	a q th aa n n a b b ee
अथारसो	a th aa r s o
अथाह	a th aa h
अथि	a th i
अथॉरिटी	a th ax r i tx ii
अथ्योरिटी	a th y o r i tx ii
अदग	a d a g
अदद	a d a d
अदनान	a d n aa n
अदबी	a d b ii
अदभय	a d bh a y
अदभुत	a d bh u t
अदम	a d a m
अंदमान	a q d a m aa n
अदमिल	a d m i l
अंदर	a q d a r
अदरक	a d r a k
अदरवाइज	a d r a w aa i j
अंदरूनी	a q d r uu n ii
अदल	a d a l
अदला	a d l aa
अदा	a d aa
अदाएं	a d aa ee q
अदाकारा	a d aa k aa r aa
अदाकारी	a d aa k aa r ii
अंदाज	a q d aa j
अंदाज़	a q d aa z
अंदाज़	a q d aa z
अंदाजा	a q d aa j aa
अंदाज़ा	a q d aa z aa
अंदाज़ा	a q d aa z aa
अंदाजी	a q d aa j ii
अंदाजे	a q d aa j ee
अदान	a d aa n
अदायगी	a d aa y g ii
अदालग्यो	a d aa l a g y o
अदालत	a d aa l a t
अदालती	a d aa l t ii
अदालते	a d aa l t ee
अदालतें	a d aa l t ee q
अदालतों	a d aa l t o q
अदास	a d aa s
अदि	a d i
अदिदियोंग	a d i d i y o q g
अःदिन	a hq d i n
अदिम	a d i m
अदिलग	a d i l a g
अदिवितीय	a d i w i t ii y
अदिशासियो	a d i sh aa s i y o
अदुरदर्शिता	a d u r d a r sh i t aa
अदूरदर्शिता	a d uu r d a r sh i t aa
अदूरदर्शी	a d uu r d a r sh ii
अःदूसरा	a hq d uu s r aa
अदृश्य	a d rq sh y
अदेल	a d ee l
अंदेशा	a q d ee sh aa
अंदेशे	a q d ee sh ee
अदोका	a d o k aa
अद्दाते	a d d aa t ee
अद्भुत	a d bh u t
अद्रश्य	a d r a sh y
अद्वंश	a d w a q sh
अद्वारा	a d w aa r aa
अद्वितीय	a d w i t ii y
अद्वैत	a d w ei t
अद्सठ्वी	a d s a txh w ii
अंध	a q dh
अंधकार	a q dh a k aa r
अंधकारमय	a q dh a k aa r m a y
अधकारी	a dh k aa r ii
अधपके	a dh a p k ee
अंधभक्ति	a q dh bh a k t i
अधयक्षता	a dh y a k sx a t aa
अधया	a dh a y aa
अंधरा	a q dh a r aa
अधर्मी	a dh a r m ii
अंधविश्वास	a q dh w i sh w aa s
अंधविश्वासी	a q dh w i sh w aa s ii
अंधव्यवस्था	a q dh a w y a w a s th aa
अंधश्रद्धा	a q dh a sh r a d dh aa
अंधा	a q dh aa
अधात	a dh aa t
अंधाधुध	a q dh aa dh u dh
अंधाधुंध	a q dh aa dh u q dh
अधाना	a dh aa n aa
अंधापन	a q dh aa p a n
अधापुरु	a dh aa p u r u
अधार	a dh aa r
अधारना	a dh aa r n aa
अधि	a dh i
अधिउन	a dh i u n
अधिक	a dh i k
अधिकतम	a dh i k t a m
अधिकतर	a dh i k t a r
अधिकता	a dh i k t aa
अधिकरण	a dh i k r a nx
अधिकरणों	a dh i k r a nx o q
अधिकाधिक	a dh i k aa dh i k
अधिकार	a dh i k aa r
अधिकारिक	a dh i k aa r i k
अधिकारिकता	a dh i k aa r i k t aa
अधिकारिणी	a dh i k aa r i nx ii
अधिकारिता	a dh i k aa r i t aa
अधिकारियो	a dh i k aa r i y o
अधिकारियों	a dh i k aa r i y o q
अध‍िकारी	a dh i k aa r ii
अधिकारी	a dh i k aa r ii
अधिकारीगन	a dh i k aa r ii g a n
अधिकारीयो	a dh i k aa r ii y o
अधिकारीयों	a dh i k aa r ii y o q
अधिकारों	a dh i k aa r o q
अधिकांश	a dh i k aa q sh
अधिकांशत	a dh i k aa q sh a t
अधिकृत	a dh i k rq t
अधिग्रहण	a dh i g r a h a nx
अधिग्रहित	a dh i g r a h i t
अधिनस्थ	a dh i n a s th
अधिनिय	a dh i n i y
अधिनियम	a dh i n i y a m
अधिनियमित	a dh i n i y m i t
अधिनियमो	a dh i n i y m o
अधिनियमों	a dh i n i y m o q
अधिपति	a dh i p t i
अधिप्राप्ति	a dh i p r aa p t i
अधिम	a dh i m
अधिया	a dh i y aa
अँधियारा	a mq dh i y aa r aa
अधिरण	a dh i r a nx
अधिवक्ता	a dh i w a k t aa
अधिवेशन	a dh i w ee sh a n
अधिशेष	a dh i sh ee sx
अधिष्ठान	a dh i sx txh aa n
अधिष्ठापन	a dh i sx txh aa p a n
अधिसाशी	a dh i s aa sh ii
अधिसाश्त्री	a dh i s aa sh t r ii
अधिसूचना	a dh i s uu c n aa
अधिसूचनाए	a dh i s uu c n aa ee
अधिसूचित	a dh i s uu c i t
अधिीक्षक	a dh i ii k sx a k
अधीक	a dh ii k
अधीकारी	a dh ii k aa r ii
अधीक्षक	a dh ii k sx a k
अधीक्षण	a dh ii k sx a nx
अधीन	a dh ii n
अधीनता	a dh ii n t aa
अधीनस्थ	a dh ii n a s th
अधीस	a dh ii s
अधुनीकरण	a dh u n ii k r a nx
अधुरा	a dh u r aa
अधुरी	a dh u r ii
अधुलित	a dh u l i t
अधूरा	a dh uu r aa
अधूरापन	a dh uu r aa p a n
अधूरी	a dh uu r ii
अधूरे	a dh uu r ee
अंधे	a q dh ee
अधेड़	a dh ee dxq
अंधेपन	a q dh ee p a n
अधेर	a dh ee r
अंधेर	a q dh ee r
अँधेरा	a mq dh ee r aa
अंधेरा	a q dh ee r aa
अँधेरी	a mq dh ee r ii
अंधेरी	a q dh ee r ii
अँधेरे	a mq dh ee r ee
अंधेरे	a q dh ee r ee
अंधेरो	a q dh ee r o
अधोलेक	a dh o l ee k
अधोलेख	a dh o l ee kh
अध्न्धुधा	a dh n dh u dh aa
अध्मनी	a dh m a n ii
अध्यक्ष	a dh y a k sx
अध्यक्षता	a dh y a k sx a t aa
अध्यक्षाको	a dh y a k sx aa k o
अध्यक्षीय	a dh y a k sx ii y
अध्यक्षों	a dh y a k sx o q
अध्यन	a dh y a n
अध्यनता	a dh y a n t aa
अध्यनरत	a dh y a n a r a t
अध्ययन	a dh y a y a n
अध्ययनरत	a dh y a y n a r a t
अध्ययनों	a dh y a y n o q
अध्यात्म	a dh y aa t m
अध्यात्मिक	a dh y aa t m i k
अध्यादेश	a dh y aa d ee sh
अःध्यान	a hq dh y aa n
अध्यापक	a dh y aa p a k
अध्यापको	a dh y aa p k o
अध्यापकों	a dh y aa p k o q
अध्यापन	a dh y aa p a n
अध्यापनरत	a dh y aa p n a r a t
अध्याय	a dh y aa y
अध्यायभगवान	a dh y aa y a bh g a w aa n
अध्यायो	a dh y aa y o
अध्सी	a dh s ii
अन	a n
अनअकैडमी	a n a k ei dx m ii
अनइंसाफ	a n i q s aa ph
अनकर	a n k a r
अनकही	a n a k h ii
अनकुरना	a n a k u r n aa
अनखेरा	a n kh ee r aa
अनगसेना	a n g a s ee n aa
अनगिनत	a n g i n a t
अनचाहा	a n c aa h aa
अनचाही	a n c aa h ii
अनचाहे	a n c aa h ee
अनजान	a n j aa n
अनजाना	a n j aa n aa
अनजाने	a n j aa n ee
अनजानों	a n j aa n o q
